reference/nc/PopoviciBWJ12;R. Paul Wiegand
reference/nc/PopoviciBWJ12;Edwin D. de Jong
reference/nc/Hulle12;Marc M. Van Hulle
reference/nc/Koshiba12;Takeshi Koshiba
reference/nc/Priami12;Corrado Priami
reference/nc/Suominen12;Kalle-Antti Suominen
reference/nc/DeganoB12;Pierpaolo Degano
reference/nc/DeganoB12;Andrea Bracciali
reference/nc/SmithM12;Jamie Smith
reference/nc/SmithM12;Michele Mosca
reference/nc/Kovacs12;Tim Kovacs
reference/nc/TorresV12;Joaquín J. Torres
reference/nc/TorresV12;Pablo Varona
reference/nc/Chopard12;Bastien Chopard
reference/nc/AdamatzkyD12;Andrew Adamatzky
reference/nc/AdamatzkyD12;Jérôme Durand-Lose
reference/nc/Paugam-MoisyB12;Hélène Paugam-Moisy
reference/nc/Paugam-MoisyB12;Sander M. Bohte
reference/nc/HagiyaKKTY12;Masami Hagiya
reference/nc/HagiyaKKTY12;Satoshi Kobayashi
reference/nc/HagiyaKKTY12;Ken Komiya
reference/nc/HagiyaKKTY12;Fumiaki Tanaka
reference/nc/HagiyaKKTY12;Takashi Yokomori
reference/nc/DowslandT12;Kathryn A. Dowsland
reference/nc/DowslandT12;Jonathan M. Thompson
reference/nc/AritaHTT12;Masanori Arita
reference/nc/AritaHTT12;Masami Hagiya
reference/nc/AritaHTT12;Masahiro Takinoue
reference/nc/AritaHTT12;Fumiaki Tanaka
reference/nc/Zhang12a;G. Peter Zhang
reference/nc/Zhang12;Jie Zhang
reference/nc/Fogel12;Gary B. Fogel
reference/nc/CorneRB12;David W. Corne
reference/nc/CorneRB12;Alan P. Reynolds
reference/nc/CorneRB12;Eric Bonabeau
reference/nc/SakakibaraH12;Yasubumi Sakakibara
reference/nc/SakakibaraH12;Satoshi Hiyama
reference/gis/ChenL08a;Feng Chen
reference/gis/ChenL08a;Chang-Tien Lu
reference/gis/Reichenbacher08;Tumasch Reichenbacher
reference/gis/Wen08;Zhen Wen
reference/gis/ThuraisinghamKSAK08;Bhavani M. Thuraisingham
reference/gis/ThuraisinghamKSAK08;Latifur Khan
reference/gis/ThuraisinghamKSAK08;Ganesh Subbiah
reference/gis/ThuraisinghamKSAK08;Ashraful Alam
reference/gis/ThuraisinghamKSAK08;Murat Kantarcioglu
reference/gis/ZhouL08d;Xiaobo Zhou
reference/gis/ZhouL08d;Henry Lin
reference/gis/Pfoser08a;Dieter Pfoser
reference/gis/Salmenkivi08;Marko Salmenkivi
reference/gis/KushkiPV08;Azadeh Kushki
reference/gis/KushkiPV08;Konstantinos N. Plataniotis
reference/gis/KushkiPV08;Anastasios N. Venetsanopoulos
reference/gis/YangL08;Jue Yang
reference/gis/YangL08;Xinrong Li
reference/gis/BettiniMW08;Claudio Bettini
reference/gis/BettiniMW08;Sergio Mascetti
reference/gis/BettiniMW08;Xiaoyang Sean Wang
reference/gis/Zhang08a;Pusheng Zhang
reference/gis/Zaslavsky08b;Ilya Zaslavsky
reference/gis/Bohm08;Christian Böhm
reference/gis/Grabow08;Damon Grabow
reference/gis/ChiuL08;Yi-Chang Chiu
reference/gis/ChiuL08;Henry X. Liu
reference/gis/Srinivasan08c;Sumeeta Srinivasan
reference/gis/KalogerakiS08;Vana Kalogeraki
reference/gis/KalogerakiS08;Amir Soheili
reference/gis/BrodeurB08;Jean Brodeur
reference/gis/BrodeurB08;Thierry Badard
reference/gis/Revesz08b;Peter Z. Revesz
reference/gis/RamakrishnanB08;Naren Ramakrishnan
reference/gis/RamakrishnanB08;Chris Bailey-Kellogg
reference/gis/Vosselman08;George Vosselman
reference/gis/Maguire08;David J. Maguire
reference/gis/Hoel08;Erik G. Hoel
reference/gis/Salmenkivi08b;Marko Salmenkivi
reference/gis/Lim08;Hyeeun Lim
reference/gis/Srinivasan08a;Sumeeta Srinivasan
reference/gis/LiYZ08;Wenwen Li
reference/gis/LiYZ08;Chaowei Phil Yang
reference/gis/LiYZ08;Bin Zhou
reference/gis/Keenan08;Peter Keenan
reference/gis/ChenDWB08;Aijun Chen
reference/gis/ChenDWB08;Liping Di
reference/gis/ChenDWB08;Yaxing Wei
reference/gis/ChenDWB08;Yuqi Bai
reference/gis/KeimBBK08;Daniel A. Keim
reference/gis/KeimBBK08;Benjamin Bustos
reference/gis/KeimBBK08;Stefan Berchtold
reference/gis/KeimBBK08;Hans-Peter Kriegel
reference/gis/CaronCLHRS08;Claude Caron
reference/gis/CaronCLHRS08;Daniel Chamberland-Tremblay
reference/gis/CaronCLHRS08;Cédric Lapierre
reference/gis/CaronCLHRS08;Pierre Hadaya
reference/gis/CaronCLHRS08;Stéphane Roche
reference/gis/CaronCLHRS08;Mokhtar Saada
reference/gis/Chen08a;Cindy X. Chen
reference/gis/Theau08b;Jérôme Théau
reference/gis/Theau08;Jérôme Théau
reference/gis/JanejaA08;Vandana Pursnani Janeja
reference/gis/JanejaA08;Nabil R. Adam
reference/gis/XiongMA08;Xiaopeng Xiong
reference/gis/XiongMA08;Mohamed F. Mokbel
reference/gis/XiongMA08;Walid G. Aref
reference/gis/YangE08;Chaowei Phil Yang
reference/gis/YangE08;John Evans
reference/gis/FinleyB08;Andrew O. Finley
reference/gis/FinleyB08;Sudipto Banerjee
reference/gis/GangodagamageZL08;Chandana Gangodagamage
reference/gis/GangodagamageZL08;Xiaobo Zhou
reference/gis/GangodagamageZL08;Henry Lin
reference/gis/ArabHW08;Ali Arab
reference/gis/ArabHW08;Mevin B. Hooten
reference/gis/ArabHW08;Christopher K. Wikle
reference/gis/WilsonF08;Ronald E. Wilson
reference/gis/WilsonF08;Katie M. Filbert
reference/gis/Fonseca08b;Frederico T. Fonseca
reference/gis/Cheng08;Reynold Cheng
reference/gis/George08;Betsy George
reference/gis/Bruns08;Dale A. Bruns
reference/gis/WilfahrtK08;Rhett Wilfahrt
reference/gis/WilfahrtK08;Sangho Kim
reference/gis/TryfonaJ08;Nectaria Tryfona
reference/gis/TryfonaJ08;Christian S. Jensen
reference/gis/Gandhi08a;Vijay Gandhi
reference/gis/SamalS08;Ashok Samal
reference/gis/SamalS08;Sharad C. Seth
reference/gis/Miller08b;Harvey J. Miller
reference/gis/Fisher08;Peter F. Fisher
reference/gis/LiHKCT08;Feifei Li
reference/gis/LiHKCT08;Marios Hadjieleftheriou
reference/gis/LiHKCT08;George Kollios
reference/gis/LiHKCT08;Dihan Cheng
reference/gis/LiHKCT08;Shang-Hua Teng
reference/gis/Zhou08;Naijun Zhou
reference/spatial/KremerM07;Philip Kremer
reference/spatial/KremerM07;Grigori Mints
reference/spatial/ParikhMS07;Rohit Parikh
reference/spatial/ParikhMS07;Lawrence S. Moss
reference/spatial/ParikhMS07;Chris Steinsvold
reference/spatial/SmythW07;Michael B. Smyth
reference/spatial/SmythW07;Julian Webster
reference/spatial/BlochHR07;Isabelle Bloch
reference/spatial/BlochHR07;Henk J. A. M. Heijmans
reference/spatial/BlochHR07;Christian Ronse
reference/spatial/AndrekaMN07;Hajnal Andréka
reference/spatial/AndrekaMN07;Judit X. Madarász
reference/spatial/AndrekaMN07;István Németi
reference/spatial/BennettD07;Brandon Bennett
