key;title;mdate;year;publtype;pages;url;ee;bookKey
reference/algo/Chakrabarty15;Max-Min Allocation.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Chakrabarty15;http://dx.doi.org/10.1007/978-3-642-27848-8_539-1;reference/algo/2015
reference/algo/Epstein08b;Online Interval Coloring.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Epstein08b;http://dx.doi.org/10.1007/978-0-387-30162-4_264;reference/algo/2008
reference/algo/KanteN15;Minimal Dominating Set Enumeration.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#KanteN15;http://dx.doi.org/10.1007/978-3-642-27848-8_721-1;reference/algo/2015
reference/algo/X08af;Dominating Set.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08af;http://dx.doi.org/10.1007/978-0-387-30162-4_119;reference/algo/2008
reference/algo/Yi08;Critical Range for Wireless Networks.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Yi08;http://dx.doi.org/10.1007/978-0-387-30162-4_95;reference/algo/2008
reference/algo/Dey15a;Smooth Surface and Volume Meshing.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Dey15a;http://dx.doi.org/10.1007/978-3-642-27848-8_717-1;reference/algo/2015
reference/algo/KranakisK08;Mobile Agents and Exploration.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#KranakisK08;http://dx.doi.org/10.1007/978-0-387-30162-4_242;reference/algo/2008
reference/algo/Berg15;Hierarchical Space Decompositions for Low-Density Scenes.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Berg15;http://dx.doi.org/10.1007/978-3-642-27848-8_590-1;reference/algo/2015
reference/algo/Speckmann08;Kinetic Data Structures.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Speckmann08;http://dx.doi.org/10.1007/978-0-387-30162-4_191;reference/algo/2008
reference/algo/Bansal08d;Shortest Elapsed Time First Scheduling.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Bansal08d;http://dx.doi.org/10.1007/978-0-387-30162-4_369;reference/algo/2008
reference/algo/X08de;Wait-Free Shared Variables.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08de;http://dx.doi.org/10.1007/978-0-387-30162-4_471;reference/algo/2008
reference/algo/Langetepe15;Robotics.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Langetepe15;http://dx.doi.org/10.1007/978-3-642-27848-8_348-2;reference/algo/2015
reference/algo/Ramachandran08;Randomized Minimum Spanning Tree.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Ramachandran08;http://dx.doi.org/10.1007/978-0-387-30162-4_325;reference/algo/2008
reference/algo/Bader08a;High Performance Algorithm Engineering for Large-scale Problems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Bader08a;http://dx.doi.org/10.1007/978-0-387-30162-4_178;reference/algo/2008
reference/algo/Chrobak15;Algorithm DC-TREE for k -Servers on Trees.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Chrobak15;http://dx.doi.org/10.1007/978-3-642-27848-8_7-2;reference/algo/2015
reference/algo/Fang08a;Majority Equilibrium.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Fang08a;http://dx.doi.org/10.1007/978-0-387-30162-4_217;reference/algo/2008
reference/algo/Ramos08;TSP-Based Curve Reconstruction.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Ramos08;http://dx.doi.org/10.1007/978-0-387-30162-4_440;reference/algo/2008
reference/algo/King08;Fully Dynamic Connectivity.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#King08;http://dx.doi.org/10.1007/978-0-387-30162-4_152;reference/algo/2008
reference/algo/LangbergC15;Graph Coloring.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#LangbergC15;http://dx.doi.org/10.1007/978-3-642-27848-8_170-2;reference/algo/2015
reference/algo/Yeo15;Kernelization: MaxLin Above Average.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Yeo15;http://dx.doi.org/10.1007/978-3-642-27848-8_532-1;reference/algo/2015
reference/algo/Sitters08;Generalized Two-Server Problem.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Sitters08;http://dx.doi.org/10.1007/978-0-387-30162-4_162;reference/algo/2008
reference/algo/0002DC15;Connected Dominating Set.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#0002DC15;http://dx.doi.org/10.1007/978-3-642-27848-8_89-2;reference/algo/2015
reference/algo/Chandra08;Randomization in Distributed Computing.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Chandra08;http://dx.doi.org/10.1007/978-0-387-30162-4_321;reference/algo/2008
reference/algo/Zhao15;Strongly Connected Dominating Set.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Zhao15;http://dx.doi.org/10.1007/978-3-642-27848-8_619-1;reference/algo/2015
reference/algo/Rosamond08;Max Leaf Spanning Tree.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Rosamond08;http://dx.doi.org/10.1007/978-0-387-30162-4_228;reference/algo/2008
reference/algo/X08cr;Using Visualization in the Empirical Assessment of Algorithms.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08cr;http://dx.doi.org/10.1007/978-0-387-30162-4_453;reference/algo/2008
reference/algo/Trevisan08;Learning Heavy Fourier Coefficients of Boolean Functions.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Trevisan08;http://dx.doi.org/10.1007/978-0-387-30162-4_197;reference/algo/2008
reference/algo/Wang0M15;Closest String and Substring Problems.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Wang0M15;http://dx.doi.org/10.1007/978-3-642-27848-8_73-2;reference/algo/2015
reference/algo/KaporisK08;Thresholds of Random k-Sat.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#KaporisK08;http://dx.doi.org/10.1007/978-0-387-30162-4_423;reference/algo/2008
reference/algo/X08b;Agreement.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08b;http://dx.doi.org/10.1007/978-0-387-30162-4_6;reference/algo/2008
reference/algo/Manasse15;Ski Rental Problem.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Manasse15;http://dx.doi.org/10.1007/978-3-642-27848-8_378-2;reference/algo/2015
reference/algo/Chen08a;Vertex Cover Kernelization.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Chen08a;http://dx.doi.org/10.1007/978-0-387-30162-4_460;reference/algo/2008
reference/algo/Karakostas08;Fractional Packing and Covering Problems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Karakostas08;http://dx.doi.org/10.1007/978-0-387-30162-4_149;reference/algo/2008
reference/algo/Bateni15;Secretary Problems and Online Auctions.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Bateni15;http://dx.doi.org/10.1007/978-3-642-27848-8_760-1;reference/algo/2015
reference/algo/X08v;Buffering.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08v;http://dx.doi.org/10.1007/978-0-387-30162-4_58;reference/algo/2008
reference/algo/Fernau08;Parameterized Algorithms for Drawing Graphs.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Fernau08;http://dx.doi.org/10.1007/978-0-387-30162-4_281;reference/algo/2008
reference/algo/X08da;Voting Systems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08da;http://dx.doi.org/10.1007/978-0-387-30162-4_467;reference/algo/2008
reference/algo/BrandstadtN15;Efficient Dominating and Edge Dominating Sets for Graphs and Hypergraphs.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#BrandstadtN15;http://dx.doi.org/10.1007/978-3-642-27848-8_689-1;reference/algo/2015
reference/algo/AlicherryBL08;Channel Assignment and Routing in Multi-Radio Wireless Mesh Networks.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#AlicherryBL08;http://dx.doi.org/10.1007/978-0-387-30162-4_67;reference/algo/2008
reference/algo/JurdzinskiK15;The Wake-Up Problem in Multi-Hop Radio Networks.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#JurdzinskiK15;http://dx.doi.org/10.1007/978-3-642-27848-8_536-1;reference/algo/2015
reference/algo/BecchettiLMP08;Flow Time Minimization.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#BecchettiLMP08;http://dx.doi.org/10.1007/978-0-387-30162-4_146;reference/algo/2008
reference/algo/X08u;Boolean Satisfiability.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08u;http://dx.doi.org/10.1007/978-0-387-30162-4_53;reference/algo/2008
reference/algo/Italiano08b;Fully Dynamic Higher Connectivity.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Italiano08b;http://dx.doi.org/10.1007/978-0-387-30162-4_154;reference/algo/2008
reference/algo/DemaineH08a;Bidimensionality.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#DemaineH08a;http://dx.doi.org/10.1007/978-0-387-30162-4_47;reference/algo/2008
reference/algo/Bansal08b;Multi-level Feedback Queues.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Bansal08b;http://dx.doi.org/10.1007/978-0-387-30162-4_249;reference/algo/2008
reference/algo/Epstein15c;Online Interval Coloring.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Epstein15c;http://dx.doi.org/10.1007/978-3-642-27848-8_264-2;reference/algo/2015
reference/algo/NikolenkoK15;Single and Multiple Buffer Processing.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#NikolenkoK15;http://dx.doi.org/10.1007/978-3-642-27848-8_535-1;reference/algo/2015
reference/algo/Hon08;Non-shared Edges.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Hon08;http://dx.doi.org/10.1007/978-0-387-30162-4_259;reference/algo/2008
