;inproceedings_dblp100;mdate;key;author;author.1;author2;title;pages;year;booktitle;__len;crossref;url;ee;author3;author4;author5;number;author6;author7;author8
1308;1331.0;2013-06-05;journals/procedia/ChandrasekaranJGMM11;Shiv Chandrasekaran;K. R. Jayaraman;Ming Gu;Higher Order Numerical Discretization Methods with Sobolev Norm Minimization.;206-215;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#ChandrasekaranJGMM11;http://dx.doi.org/10.1016/j.procs.2011.04.022;Hrushikesh Narhar Mhaskar;J. Mofftt;;;;;3624
1309;1332.0;2013-06-17;journals/procedia/HaugeR12;Jannicke Baalsrud Hauge;Johann c. k. h. Riedel;;Evaluation of Simulation Games for Teaching Engineering and Manufacturing.;210-220;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#HaugeR12;http://dx.doi.org/10.1016/j.procs.2012.10.073;;;;;;;3625
1310;1333.0;2013-07-10;journals/procedia/AcharyaK11;Debopam Acharya;Vijay Kumar;;Security of MBAN based Health Records in Mobile Broadband Environment.;539-545;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#AcharyaK11;http://dx.doi.org/10.1016/j.procs.2011.07.070;;;;;;;3624
1311;1334.0;2013-06-05;journals/procedia/LarsonBT11;Jay Walter Larson;Peter R. Briggs;Michael Tobis;Block-Entropy Analysis of Climate Data.;1592-1601;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#LarsonBT11;http://dx.doi.org/10.1016/j.procs.2011.04.172;;;;;;;3624
1312;1335.0;2013-06-05;journals/procedia/PidapartiKW12;Ramana M. Pidaparti;Kittisak Koombua;Kevin R. Ward;Multiscale Modeling Framework for Lung Airways Inflammation.;606-614;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#PidapartiKW12;http://dx.doi.org/10.1016/j.procs.2012.04.065;;;;;;;3625
1313;1336.0;2013-06-05;journals/procedia/VatsavaiG12;Ranga Raju Vatsavai;Jordan Graesser;;Probabilistic Change Detection Framework for Analyzing Settlement Dynamics Using Very High-resolution Satellite Imagery.;907-916;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#VatsavaiG12;http://dx.doi.org/10.1016/j.procs.2012.04.097;;;;;;;3625
1314;1337.0;2013-06-17;journals/procedia/PinedaLTS12;Ricardo Pineda;Amit J. Lopes;Bill Tseng;Service Systems Engineering: Emerging Skills and Tools.;420-427;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#PinedaLTS12;http://dx.doi.org/10.1016/j.procs.2012.01.081;Oscar H. Salcedo;;;;;;3625
1315;1338.0;2013-07-10;journals/procedia/KhairKM11;Mazen G. Khair;Burak Kantarci;Hussein T. Mouftah;Heterogeneous Clustering Of Sensor Network.;939-944;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#KhairKM11;http://dx.doi.org/10.1016/j.procs.2011.07.132;;;;;;;3624
1316;1339.0;2013-07-10;journals/procedia/DePreeS11;Jeff DePree;Stanley Y. W. Su;;Defining, executing and evolving microfranchise templates.;669-676;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#DePreeS11;http://dx.doi.org/10.1016/j.procs.2011.07.087;;;;;;;3624
1317;1340.0;2013-06-05;journals/procedia/CalabresePSGVGC11;Barbara Calabrese;Franco Pucci;Miriam Sturniolo;A System for the Analysis of Snore Signals.;1101-1108;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#CalabresePSGVGC11;http://dx.doi.org/10.1016/j.procs.2011.04.117;Pietro Hiram Guzzi;Pierangelo Veltri;Antonio Gambardella;;Mario Cannataro;;3624
1320;1343.0;2013-06-05;journals/procedia/GintingPR12;Victor Ginting;F. Pereira;A. Rahunanthan;Multiple Markov Chains Monte Carlo Approach for Flow Forecasting in Porous Media;707-716;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#GintingPR12;http://dx.doi.org/10.1016/j.procs.2012.04.076;;;;;;;3625
1321;1344.0;2013-06-20;journals/procedia/DuarteG12;Joana Duarte;Arminda Guerra;;User-Centered Healthcare Design.;189-197;2012.0;DSAI;1613.0;conf/dsai/2012;db/journals/procedia/procedia14.html#DuarteG12;http://dx.doi.org/10.1016/j.procs.2012.10.022;;;;;;;3625
1322;1345.0;2013-11-28;journals/procedia/GuvenO12;Erhan Guven;A. Murat Özbayoglu;;Note and Timbre Classification by Local Features of Spectrogram.;182-187;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#GuvenO12;http://dx.doi.org/10.1016/j.procs.2012.09.051;;;;;;;3625
1323;1346.0;2014-04-04;journals/procedia/RudtschBG13;Vinzent Rudtsch;Frank Bauer;Jürgen Gausemeier;Approach for the Conceptual Design Validation of Production Systems using Automated Simulation-Model Generation.;69-78;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#RudtschBG13;http://dx.doi.org/10.1016/j.procs.2013.01.008;;;;;;;3626
1324;1347.0;2013-06-17;journals/procedia/HaynesC12;David Haynes;Steven M. Corns;;A proposal to use real time pricing to manage the electrical grid as a step toward distributed control.;370-375;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#HaynesC12;http://dx.doi.org/10.1016/j.procs.2012.01.074;;;;;;;3625
1325;1348.0;2013-06-20;journals/procedia/MorfidiMB12;Eleni Morfidi;Tassos A. Mikropoulos;Joan Bellou;Teaching Intervention Through a Hypermedia Application for Children with Learning and Communication Difficulties.;419-427;2012.0;DSAI;1613.0;conf/dsai/2012;db/journals/procedia/procedia14.html#MorfidiMB12;http://dx.doi.org/10.1016/j.procs.2012.10.048;;;;;;;3625
1326;1349.0;2013-06-17;journals/procedia/Hahn13;Heidi Ann Hahn;;;The Conundrum of Verification and Validation of Social Science-based Models.;878-887;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#Hahn13;http://dx.doi.org/10.1016/j.procs.2013.01.092;;;;;;;3626
1327;1350.0;2013-06-17;journals/procedia/RyanJCS12;E. Ryan;D. Jacques;J. Colombi;A Proposed Methodology to Characterize the Accuracy of Life Cycle Cost Estimates for DoD Programs.;361-369;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#RyanJCS12;http://dx.doi.org/10.1016/j.procs.2012.01.073;C. Schubert;;;;;;3625
1328;1351.0;2013-06-20;journals/procedia/SilvaMVS12;Sérgio Silva;Hugo Martins;António Valente;A Bluetooth Approach to Diabetes Sensing on Ambient Assisted Living systems.;181-188;2012.0;DSAI;1613.0;conf/dsai/2012;db/journals/procedia/procedia14.html#SilvaMVS12;http://dx.doi.org/10.1016/j.procs.2012.10.021;Salviano F. S. P. Soares;;;;;;3625
1329;1352.0;2013-06-05;journals/procedia/IwataTNMMKS11;Kenji Iwata;Yoshio Tanaka;Ryosuke Nakamura;Optimization and Performance Evaluation of Stereo-Matching Software on Many-core Processors.;1545-1553;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#IwataTNMMKS11;http://dx.doi.org/10.1016/j.procs.2011.04.167;Tomoki Masuda;Ryosuke Machida;Isao Kojima;;Satoshi Sekiguchi;;3624
1330;1353.0;2013-07-10;journals/procedia/BoeckRDG11;Harold Boeck;Jean Roy;Fabien Durif;The effect of perceived intrusion on consumers' attitude towards using an RFID-based marketing program.;841-848;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#BoeckRDG11;http://dx.doi.org/10.1016/j.procs.2011.07.116;Marc Grégoire;;;;;;3624
1331;1354.0;2013-06-17;journals/procedia/FoxB12;Jon Fox;Donald E. Brown;;Using Temporal Indicator Functions with Generalized Linear Models for Spatial-Temporal Event Prediction.;106-111;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#FoxB12;http://dx.doi.org/10.1016/j.procs.2012.01.021;;;;;;;3625
1332;1355.0;2013-06-05;journals/procedia/YangL12;Xin-She Yang;Tao Luan;;Modelling of A Pulsating Heat Pipe and Startup Asymptotics.;784-791;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#YangL12;http://dx.doi.org/10.1016/j.procs.2012.04.084;;;;;;;3625
1334;1357.0;2013-07-10;journals/procedia/KoucheH12;Ahmad El Kouche;Hossam S. Hassanein;;Ultrasonic Non-Destructive Testing (NDT) Using Wireless Sensor Networks.;136-143;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#KoucheH12;http://dx.doi.org/10.1016/j.procs.2012.06.021;;;;;;;3625
1335;1358.0;2013-11-28;journals/procedia/AbdelbarW12;Ashraf M. Abdelbar;Donald C. Wunsch II;;Promoting Search Diversity in Ant Colony Optimization with Stubborn Ants.;456-462;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#AbdelbarW12;http://dx.doi.org/10.1016/j.procs.2012.09.104;;;;;;;3625
1336;1359.0;2013-06-05;journals/procedia/CaiWQ12;Guoyong Cai;Ruili Wang;Baohua Qiang;Online Social Network Evolving Model Based on Damping Factor.;1338-1344;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#CaiWQ12;http://dx.doi.org/10.1016/j.procs.2012.04.147;;;;;;;3625
1337;1360.0;2013-07-10;journals/procedia/KunnathPR12;Abishek Thekkeyil Kunnath;Preeja Pradeep;Maneesha Vinodini Ramesh;ER-Track: A Wireless Device for Tracking and Monitoring Emergency Responders.;1080-1085;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#KunnathPR12;http://dx.doi.org/10.1016/j.procs.2012.06.152;;;;;;;3625
1338;1361.0;2014-03-28;journals/procedia/YuLRSLSRF12;H. Yu;Theodore Lim;James M. Ritchie;Exploring the Application of Computer Game Theory to Automated Assembly.;266-273;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#YuLRSLSRF12;http://dx.doi.org/10.1016/j.procs.2012.10.078;Raymond C. W. Sung;Sandy Louchart;Ioana A. Stanescu;;I. Roceanu;Sara de Freitas;3625
1339;1362.0;2013-06-05;journals/procedia/ShumkinZPC12;G. N. Shumkin;F. Zipoli;A. M. Popov;Multiscale Quantum Simulation of Resistance Switching in Amorphous Carbon.;641-650;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#ShumkinZPC12;http://dx.doi.org/10.1016/j.procs.2012.04.069;Alessandro Curioni;;;;;;3625
